First Name,Last Name,Email,Phone Number,Job Title,Company Name,City,State/Region,Country/Region,Website URL,LinkedIn Bio URL,Lead Source,Lifecycle Stage,Lead Status,Priority Tier,Quality Score,Estimated Monthly Volume,Signal Date,Notes,Original Batch
,,info@vitalityslimclinic.com,(281) 546-7904,MD-Supervised,Vitality Slim Clinic - Houston,Houston,TX,United States,https://vitalityslimclinic.com,Not found,Other,Lead,Open,Tier 2,70,"$7,358",Mar 2026,"Signal: 25% OFF peptide services for new clients promotion Mar 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Weight Loss, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $7,358 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@chronosbhw.com,(504) 267-4549,MD-Supervised,Chronos Body Health & Wellness - Metairie,Metairie,LA,United States,https://chronosbhw.com,Not found,Other,Lead,New,Tier 1,95,"$15,882",Jan 2026,"Signal: New peptide therapy launch Jan 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, IV Therapy | Certifications: Physician-supervised | Est. Monthly Volume: $15,882 | Batch: Batch 7 | Quality Score: 95",Batch 7
Saami,Khalifian,concierge@som.md,(760) 766-7546,MD (Double Board-Certified Dermatologist),SOM Aesthetics - Encinitas,Encinitas,CA,United States,https://som.md,Not found,Other,Lead,New,Tier 1,85,"$13,862",Mar 2026,"Signal: New PA with 10 years hormone care added for peptide stacking protocols Mar 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Regenerative Aesthetics, Hormone Optimization | Certifications: Double Board-Certified Dermatologist | Est. Monthly Volume: $13,862 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@selahcenter.com,(619) 736-1761,MD-Supervised,Selah Center - Carlsbad,Carlsbad,CA,United States,https://selahcenter.com,Not found,Other,Lead,New,Tier 1,85,"$19,559",Fall 2025,"Signal: New peptide therapy launch Fall 2025 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $19,559 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@artemedica.com,(707) 577-8292,MD (Plastic Surgery),Artemedica - Santa Rosa,Santa Rosa,CA,United States,https://artemedica.com,Not found,Other,Lead,New,Tier 1,88,"$10,259",Feb 2026,"Signal: New peptide and enzyme therapy page live Feb 2026 | Outreach Angle: Lead with BPC-157 / Pentadeca Arginate supply; offer TB-500 bundle and NAD+ as upsell | Peptide Menu: Peptide & Enzyme Therapy, BPC-157, Regenerative Medicine | Certifications: Board-Certified Plastic Surgeon | Est. Monthly Volume: $10,259 | Batch: Batch 7 | Quality Score: 88",Batch 7
,,info@bffmedical.com,(951) 500-0000,MD-Supervised,BFF Medical - Temecula,Temecula,CA,United States,https://bffmedical.com,Not found,Other,Lead,Open,Tier 2,70,"$8,869",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Introduce RUO peptide supply partnership; offer free sample kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 | Peptide Menu: Peptide Therapy, Fat Loss, Recovery | Certifications: Physician-supervised | Est. Monthly Volume: $8,869 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@livvnatural.com,(619) 500-0000,MD-Supervised,Livv Natural - San Diego,San Diego,CA,United States,https://livvnatural.com,Not found,Other,Lead,Open,Tier 2,70,"$7,271",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Bundle peptide add-ons with IV therapy menu (NAD+, Glutathione, BPC-157); offer IV-compatible formats | Peptide Menu: Peptide Therapy, IV Therapy, Functional Medicine | Certifications: Physician-supervised | Est. Monthly Volume: $7,271 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@purehealthsd.com,(619) 400-0000,MD-Supervised,Pure Health SD - San Diego,San Diego,CA,United States,https://purehealthsd.com,Not found,Other,Lead,Open,Tier 2,70,"$4,120",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $4,120 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,oldtown@ivmenow.com,(312) 350-1822,MD-Supervised,IVme Wellness + Aesthetics - Chicago Old Town,Chicago,IL,United States,https://ivmenow.com,Not found,Other,Lead,New,Tier 1,86,"$13,290",Mar 2026,"Signal: Announcement: now offering 10 new peptides Mar 2026 | Outreach Angle: Lead with NAD+ supply; bundle with Glutathione and BPC-157 for comprehensive longevity protocol | Peptide Menu: 10 New Peptides, NAD+, IV Therapy, HRT, Semaglutide, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $13,290 | Batch: Batch 7 | Quality Score: 86",Batch 7
,,naperville@ivmenow.com,(630) 687-8833,MD-Supervised,IVme Wellness + Aesthetics - Naperville,Naperville,IL,United States,https://ivmenow.com,Not found,Other,Lead,New,Tier 1,86,"$21,508",Mar 2026,"Signal: Announcement: now offering 10 new peptides Mar 2026 | Outreach Angle: Lead with NAD+ supply; bundle with Glutathione and BPC-157 for comprehensive longevity protocol | Peptide Menu: 10 New Peptides, NAD+, IV Therapy, HRT, Semaglutide, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $21,508 | Batch: Batch 7 | Quality Score: 86",Batch 7
,,info@thesapphireluxuryspa.com,(217) 690-4130,NP-Led,The Sapphire Luxury Spa - Effingham,Effingham,IL,United States,https://thesapphireluxuryspa.com,Not found,Other,Lead,New,Tier 1,95,"$13,621",Mar 2026,"Signal: New peptide therapy service launch Mar 2026 | Outreach Angle: Lead with GHK-Cu and BPC-157 for skin/tissue repair; position as aesthetic peptide upgrade | Peptide Menu: Peptide Therapy, Botox, Microneedling, IV Therapy | Certifications: NP-Led | Est. Monthly Volume: $13,621 | Batch: Batch 7 | Quality Score: 95",Batch 7
,,info@alignhealth.com,(847) 500-0000,MD-Supervised,Align Health - Illinois,Chicago,IL,United States,https://alignhealth.com,Not found,Other,Lead,Open,Tier 2,70,"$8,127",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Functional Medicine | Certifications: Physician-supervised | Est. Monthly Volume: $8,127 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@wellnesseditmichigan.com,(734) 540-3348,MD-Supervised,The Wellness Edit Med Spa & Longevity Center - Manchester,Manchester,MI,United States,https://wellnesseditmichigan.com,Not found,Other,Lead,New,Tier 1,85,"$13,307",Feb 2026,"Signal: New med spa and longevity center launch Feb 2026 | Outreach Angle: Lead with GHK-Cu and BPC-157 for skin/tissue repair; position as aesthetic peptide upgrade | Peptide Menu: Peptide Therapy, Longevity Medicine, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $13,307 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@360wellnessmedspa.com,(616) 466-4972,NP-Led,360 Wellness Med Spa - Grand Rapids,Grand Rapids,MI,United States,https://360wellnessmedspa.com,Not found,Other,Lead,Open,Tier 2,70,"$4,186",Mar 2026,"Signal: Exhibiting at West Michigan Women's Expo Mar 2026 - peptide services | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics, Laser | Certifications: NP-Led | Est. Monthly Volume: $4,186 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@newlifewellnessoh.com,(937) 717-3575,NP-Led,New Life Wellness - Dayton,Dayton,OH,United States,https://newlifewellnessoh.com,Not found,Other,Lead,New,Tier 1,95,"$19,756",Mar 2026,"Signal: New peptide therapy launch Mar 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, IV Therapy | Certifications: NP-Led | Est. Monthly Volume: $19,756 | Batch: Batch 7 | Quality Score: 95",Batch 7
,,info@driphydration.com,(614) 401-4888,MD-Supervised,Drip Hydration - Columbus,Columbus,OH,United States,https://driphydration.com,Not found,Other,Lead,Open,Tier 2,73,"$6,937",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with NAD+ supply; bundle with Glutathione and BPC-157 for comprehensive longevity protocol | Peptide Menu: Peptide Therapy, IV Hydration, NAD+, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $6,937 | Batch: Batch 7 | Quality Score: 73",Batch 7
,,info@22spamd.com,(385) 430-0758,MD-Supervised,22 Spa MD - Cottonwood Heights,Cottonwood Heights,UT,United States,https://22spamd.com,Not found,Other,Lead,New,Tier 1,85,"$18,486",Oct 2025,"Signal: New peptide therapy launch Oct 2025 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $18,486 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@unfilteredmedspa.com,(801) 885-6814,MD-Supervised,Unfiltered Medical Spa - Lehi,Lehi,UT,United States,https://unfilteredmedspa.com,Not found,Other,Lead,New,Tier 1,95,"$12,292",Mar 2026,"Signal: New peptide therapy launch Mar 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $12,292 | Batch: Batch 7 | Quality Score: 95",Batch 7
,,info@vitality-hc.com,(316) 866-6744,MD-Supervised,Vitality Health Center - Wichita,Wichita,KS,United States,https://vitality-hc.com,Not found,Other,Lead,New,Tier 1,80,"$22,454",Mar 2026,"Signal: Peptide therapy page added with 'Coming Soon' - active buying signal Mar 2026 | Outreach Angle: Reach out before launch; offer to supply full RUO peptide starter menu to ensure day-one readiness | Peptide Menu: Peptide Therapy (Coming Soon), Mental Health, Wellness | Certifications: Physician-supervised | Est. Monthly Volume: $22,454 | Batch: Batch 7 | Quality Score: 80",Batch 7
Brenna,Butler,info@treasurevalleyaw.com,(208) 580-7703,DNP,Treasure Valley Aesthetics & Wellness - Boise,Boise,ID,United States,https://treasurevalleyaw.com,Not found,Other,Lead,Open,Tier 2,75,"$5,875",Mar 2026,"Signal: Facebook post on 2026 peptide therapy regulatory changes - active buyer | Outreach Angle: Lead with peptide weight loss stack (AOD-9604, MOTS-C); position as complement to GLP-1 program | Peptide Menu: Peptide Therapy, Hormone Optimization, GLP-1 Weight Loss | Certifications: Dual-certified hormone specialist, Evexipel certified | Est. Monthly Volume: $5,875 | Batch: Batch 7 | Quality Score: 75",Batch 7
Kelsey,Clark,info@elevatehormoneclinic.com,(256) 444-6210,CRNP,Elevate Health & Hormone Clinic - Moulton,Moulton,AL,United States,https://elevatehormoneclinic.com,Not found,Other,Lead,New,Tier 1,100,"$19,780",Feb 2026,"Signal: New BPC-157 and TB-500 peptide therapy launch Feb 2026 | Outreach Angle: Lead with BPC-157 / Pentadeca Arginate supply; offer TB-500 bundle and NAD+ as upsell | Peptide Menu: BPC-157, TB-500, Peptide Therapy, IV Infusions, HRT, Sexual Health, Hormone Pellets | Certifications: CRNP | Est. Monthly Volume: $19,780 | Batch: Batch 7 | Quality Score: 100",Batch 7
Antonia,Schmitt; Danielle Blackwell,info@myvitalitycove.com,(256) 536-2205,MD; NP,Vitality Cove Wellness Clinic - Hampton Cove,Hampton Cove,AL,United States,https://myvitalitycove.com,Not found,Other,Lead,New,Tier 1,90,"$13,889",Jan 2026,"Signal: Grand opening announced Jan 2026 | Outreach Angle: Congratulate on grand opening; offer RUO starter kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 to launch peptide menu immediately | Peptide Menu: Hormone Optimization, Peptide Therapy, Aesthetic Services, IV Lounge | Certifications: MD, NP | Est. Monthly Volume: $13,889 | Batch: Batch 7 | Quality Score: 90",Batch 7
,,info@alignwellnesstn.com,(615) 305-8081,NP-Led,Align Wellness - Tennessee,Nashville,TN,United States,https://alignwellnesstn.com,Not found,Other,Lead,Open,Tier 2,75,"$8,703",Mar 2026,"Signal: Instagram post: FDA peptide reclassification announcement + peptide offering Mar 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $8,703 | Batch: Batch 7 | Quality Score: 75",Batch 7
,,info@vitabella.com,(480) 700-0000,MD-Supervised,Vita Bella - Scottsdale / Nationwide,Scottsdale,AZ,United States,https://vitabella.com,Not found,Other,Lead,Open,Tier 2,70,"$9,551",Feb 2026,"Signal: Recognized #1 Online Hormone & Peptide Provider Feb 2026 - rapid membership growth | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Hormone & Peptide Therapy, Online Platform, Mind Pump Partnership | Certifications: Physician-supervised | Est. Monthly Volume: $9,551 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@purebeautynpaesthetics.com,(508) 261-5015,NP-Led,PureBeautyNP Aesthetics - Tiverton,Tiverton,RI,United States,https://purebeautynpaesthetics.com,Not found,Other,Lead,Open,Tier 2,73,"$5,125",Mar 2026,"Signal: NAD+ peptide therapy 2026 blog post - active buyer signal | Outreach Angle: Lead with NAD+ supply; bundle with Glutathione and BPC-157 for comprehensive longevity protocol | Peptide Menu: Peptide Therapy, NAD+, Weight Loss, Botox, Fillers | Certifications: NP-Led | Est. Monthly Volume: $5,125 | Batch: Batch 7 | Quality Score: 73",Batch 7
Amy,(NP),Amy@yourwellnesspath.life,(845) 442-6185,NP,Your Wellness Path - Dover Plains,Dover Plains,NY,United States,https://yourwellnesspath.life,Not found,Other,Lead,Open,Tier 2,70,"$9,611",Mar 2026,"Signal: Active peptide therapy offering Mar 2026 | Outreach Angle: Introduce RUO peptide supply partnership; offer free sample kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 | Peptide Menu: Peptide Therapy, Direct Primary Care, Telehealth | Certifications: NP | Est. Monthly Volume: $9,611 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@nuwaveny.com,(631) 500-0000,MD-Supervised,NuWave Medical - Commack,Commack,NY,United States,https://nuwaveny.com,Not found,Other,Lead,New,Tier 1,80,"$10,555",Feb 2026,"Signal: New peptide therapy page live Feb 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Anti-Aging, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $10,555 | Batch: Batch 7 | Quality Score: 80",Batch 7
,,info@manhattanprimarycare.nyc,(646) 454-9000,MD-Supervised,Manhattan Primary Care - New York City,New York,NY,United States,https://manhattanprimarycare.nyc,Not found,Other,Lead,New,Tier 1,80,"$15,993",Feb 2026,"Signal: New peptide therapy page live Feb 2026 | Outreach Angle: Introduce RUO peptide supply partnership; offer free sample kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 | Peptide Menu: Peptide Therapy, Anti-Aging, Primary Care | Certifications: Physician-supervised | Est. Monthly Volume: $15,993 | Batch: Batch 7 | Quality Score: 80",Batch 7
,,milwaukee@ivmenow.com,(262) 230-2190,MD-Supervised,IVme Wellness + Aesthetics - Milwaukee,Milwaukee,WI,United States,https://ivmenow.com,Not found,Other,Lead,New,Tier 1,86,"$16,905",Mar 2026,"Signal: Announcement: now offering 10 new peptides Mar 2026 | Outreach Angle: Lead with NAD+ supply; bundle with Glutathione and BPC-157 for comprehensive longevity protocol | Peptide Menu: 10 New Peptides, NAD+, IV Therapy, HRT, Semaglutide, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $16,905 | Batch: Batch 7 | Quality Score: 86",Batch 7
,,info@superiormedspallc.com,(715) 718-0655,NP-Led,Superior Med Spa - Superior,Superior,WI,United States,https://superiormedspallc.com,Not found,Other,Lead,Open,Tier 2,70,"$5,922",Feb 2026,"Signal: Active peptide therapy page 2026 - Duluth Women's Expo vendor | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $5,922 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@serenityrejuvenationcenter.com,(425) 500-0000,MD-Supervised,Serenity Rejuvenation Center - Bellevue,Bellevue,WA,United States,https://serenityrejuvenationcenter.com,Not found,Other,Lead,New,Tier 1,80,"$19,130",Mar 2026,"Signal: New peptide therapy page live Mar 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $19,130 | Batch: Batch 7 | Quality Score: 80",Batch 7
,,info@neuclinic.com,(509) 491-1944,NP-Led,Neu Clinic & Women's Aesthetics - Kennewick,Kennewick,WA,United States,https://neuclinic.com,Not found,Other,Lead,Open,Tier 2,70,"$8,483",Jan 2026,"Signal: New Year 2026 peptide therapy promotion Jan 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Women's Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $8,483 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@neuclinic.com,(509) 512-2559,NP-Led,Neu Clinic & Women's Aesthetics - Yakima,Yakima,WA,United States,https://neuclinic.com,Not found,Other,Lead,Open,Tier 2,70,"$9,548",Jan 2026,"Signal: New Year 2026 peptide therapy promotion Jan 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Women's Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $9,548 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@thebh.us,(919) 500-0000,MD (Board-Certified Psychiatrist),The BH - North Carolina,Charlotte,NC,United States,https://thebh.us,Not found,Other,Lead,Open,Tier 2,75,"$8,975",Feb 2026,"Signal: Blog post on 14 banned peptides returning - active buyer signal Feb 2026 | Outreach Angle: Introduce RUO peptide supply partnership; offer free sample kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 | Peptide Menu: Peptide Therapy, 14 Returning Peptides, Mental Wellness | Certifications: Board-Certified Psychiatrist | Est. Monthly Volume: $8,975 | Batch: Batch 7 | Quality Score: 75",Batch 7
,,info@driphydration.com,(720) 508-1041,MD-Supervised,Drip Hydration - Colorado Springs,Colorado Springs,CO,United States,https://driphydration.com,Not found,Other,Lead,Open,Tier 2,73,"$6,541",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with NAD+ supply; bundle with Glutathione and BPC-157 for comprehensive longevity protocol | Peptide Menu: Peptide Therapy, IV Hydration, NAD+, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $6,541 | Batch: Batch 7 | Quality Score: 73",Batch 7
,,info@boulderintegrative.com,(303) 500-0000,MD-Supervised,Boulder Integrative Health - Boulder,Boulder,CO,United States,https://boulderintegrative.com,Not found,Other,Lead,Open,Tier 2,70,"$5,934",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Functional Medicine, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $5,934 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@fixmedicalgroup.com,(480) 600-0000,MD-Supervised,Fix Medical Group - Scottsdale,Scottsdale,AZ,United States,https://fixmedicalgroup.com,Not found,Other,Lead,Open,Tier 2,70,"$7,705",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $7,705 | Batch: Batch 7 | Quality Score: 70",Batch 7
