First Name,Last Name,Email,Phone Number,Job Title,Company Name,City,State/Region,Country/Region,Website URL,LinkedIn Bio URL,Lead Source,Lifecycle Stage,Lead Status,Priority Tier,Quality Score,Estimated Monthly Volume,Signal Date,Notes,Original Batch
Saami,Khalifian,concierge@som.md,(760) 766-7546,MD (Double Board-Certified Dermatologist),SOM Aesthetics - Encinitas,Encinitas,CA,United States,https://som.md,Not found,Other,Lead,New,Tier 1,85,"$13,862",Mar 2026,"Signal: New PA with 10 years hormone care added for peptide stacking protocols Mar 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Regenerative Aesthetics, Hormone Optimization | Certifications: Double Board-Certified Dermatologist | Est. Monthly Volume: $13,862 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@360wellnessmedspa.com,(616) 466-4972,NP-Led,360 Wellness Med Spa - Grand Rapids,Grand Rapids,MI,United States,https://360wellnessmedspa.com,Not found,Other,Lead,Open,Tier 2,70,"$4,186",Mar 2026,"Signal: Exhibiting at West Michigan Women's Expo Mar 2026 - peptide services | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics, Laser | Certifications: NP-Led | Est. Monthly Volume: $4,186 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@newlifewellnessoh.com,(937) 717-3575,NP-Led,New Life Wellness - Dayton,Dayton,OH,United States,https://newlifewellnessoh.com,Not found,Other,Lead,New,Tier 1,95,"$19,756",Mar 2026,"Signal: New peptide therapy launch Mar 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, IV Therapy | Certifications: NP-Led | Est. Monthly Volume: $19,756 | Batch: Batch 7 | Quality Score: 95",Batch 7
,,info@driphydration.com,(614) 401-4888,MD-Supervised,Drip Hydration - Columbus,Columbus,OH,United States,https://driphydration.com,Not found,Other,Lead,Open,Tier 2,73,"$6,937",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with NAD+ supply; bundle with Glutathione and BPC-157 for comprehensive longevity protocol | Peptide Menu: Peptide Therapy, IV Hydration, NAD+, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $6,937 | Batch: Batch 7 | Quality Score: 73",Batch 7
,,info@22spamd.com,(385) 430-0758,MD-Supervised,22 Spa MD - Cottonwood Heights,Cottonwood Heights,UT,United States,https://22spamd.com,Not found,Other,Lead,New,Tier 1,85,"$18,486",Oct 2025,"Signal: New peptide therapy launch Oct 2025 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $18,486 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@unfilteredmedspa.com,(801) 885-6814,MD-Supervised,Unfiltered Medical Spa - Lehi,Lehi,UT,United States,https://unfilteredmedspa.com,Not found,Other,Lead,New,Tier 1,95,"$12,292",Mar 2026,"Signal: New peptide therapy launch Mar 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $12,292 | Batch: Batch 7 | Quality Score: 95",Batch 7
,,info@vitality-hc.com,(316) 866-6744,MD-Supervised,Vitality Health Center - Wichita,Wichita,KS,United States,https://vitality-hc.com,Not found,Other,Lead,New,Tier 1,80,"$22,454",Mar 2026,"Signal: Peptide therapy page added with 'Coming Soon' - active buying signal Mar 2026 | Outreach Angle: Reach out before launch; offer to supply full RUO peptide starter menu to ensure day-one readiness | Peptide Menu: Peptide Therapy (Coming Soon), Mental Health, Wellness | Certifications: Physician-supervised | Est. Monthly Volume: $22,454 | Batch: Batch 7 | Quality Score: 80",Batch 7
Brenna,Butler,info@treasurevalleyaw.com,(208) 580-7703,DNP,Treasure Valley Aesthetics & Wellness - Boise,Boise,ID,United States,https://treasurevalleyaw.com,Not found,Other,Lead,Open,Tier 2,75,"$5,875",Mar 2026,"Signal: Facebook post on 2026 peptide therapy regulatory changes - active buyer | Outreach Angle: Lead with peptide weight loss stack (AOD-9604, MOTS-C); position as complement to GLP-1 program | Peptide Menu: Peptide Therapy, Hormone Optimization, GLP-1 Weight Loss | Certifications: Dual-certified hormone specialist, Evexipel certified | Est. Monthly Volume: $5,875 | Batch: Batch 7 | Quality Score: 75",Batch 7
Kelsey,Clark,info@elevatehormoneclinic.com,(256) 444-6210,CRNP,Elevate Health & Hormone Clinic - Moulton,Moulton,AL,United States,https://elevatehormoneclinic.com,Not found,Other,Lead,New,Tier 1,100,"$19,780",Feb 2026,"Signal: New BPC-157 and TB-500 peptide therapy launch Feb 2026 | Outreach Angle: Lead with BPC-157 / Pentadeca Arginate supply; offer TB-500 bundle and NAD+ as upsell | Peptide Menu: BPC-157, TB-500, Peptide Therapy, IV Infusions, HRT, Sexual Health, Hormone Pellets | Certifications: CRNP | Est. Monthly Volume: $19,780 | Batch: Batch 7 | Quality Score: 100",Batch 7
Antonia,Schmitt; Danielle Blackwell,info@myvitalitycove.com,(256) 536-2205,MD; NP,Vitality Cove Wellness Clinic - Hampton Cove,Hampton Cove,AL,United States,https://myvitalitycove.com,Not found,Other,Lead,New,Tier 1,90,"$13,889",Jan 2026,"Signal: Grand opening announced Jan 2026 | Outreach Angle: Congratulate on grand opening; offer RUO starter kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 to launch peptide menu immediately | Peptide Menu: Hormone Optimization, Peptide Therapy, Aesthetic Services, IV Lounge | Certifications: MD, NP | Est. Monthly Volume: $13,889 | Batch: Batch 7 | Quality Score: 90",Batch 7
,,info@alignwellnesstn.com,(615) 305-8081,NP-Led,Align Wellness - Tennessee,Nashville,TN,United States,https://alignwellnesstn.com,Not found,Other,Lead,Open,Tier 2,75,"$8,703",Mar 2026,"Signal: Instagram post: FDA peptide reclassification announcement + peptide offering Mar 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $8,703 | Batch: Batch 7 | Quality Score: 75",Batch 7
,,info@vitabella.com,(480) 700-0000,MD-Supervised,Vita Bella - Scottsdale / Nationwide,Scottsdale,AZ,United States,https://vitabella.com,Not found,Other,Lead,Open,Tier 2,70,"$9,551",Feb 2026,"Signal: Recognized #1 Online Hormone & Peptide Provider Feb 2026 - rapid membership growth | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Hormone & Peptide Therapy, Online Platform, Mind Pump Partnership | Certifications: Physician-supervised | Est. Monthly Volume: $9,551 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@purebeautynpaesthetics.com,(508) 261-5015,NP-Led,PureBeautyNP Aesthetics - Tiverton,Tiverton,RI,United States,https://purebeautynpaesthetics.com,Not found,Other,Lead,Open,Tier 2,73,"$5,125",Mar 2026,"Signal: NAD+ peptide therapy 2026 blog post - active buyer signal | Outreach Angle: Lead with NAD+ supply; bundle with Glutathione and BPC-157 for comprehensive longevity protocol | Peptide Menu: Peptide Therapy, NAD+, Weight Loss, Botox, Fillers | Certifications: NP-Led | Est. Monthly Volume: $5,125 | Batch: Batch 7 | Quality Score: 73",Batch 7
Amy,(NP),Amy@yourwellnesspath.life,(845) 442-6185,NP,Your Wellness Path - Dover Plains,Dover Plains,NY,United States,https://yourwellnesspath.life,Not found,Other,Lead,Open,Tier 2,70,"$9,611",Mar 2026,"Signal: Active peptide therapy offering Mar 2026 | Outreach Angle: Introduce RUO peptide supply partnership; offer free sample kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 | Peptide Menu: Peptide Therapy, Direct Primary Care, Telehealth | Certifications: NP | Est. Monthly Volume: $9,611 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@nuwaveny.com,(631) 500-0000,MD-Supervised,NuWave Medical - Commack,Commack,NY,United States,https://nuwaveny.com,Not found,Other,Lead,New,Tier 1,80,"$10,555",Feb 2026,"Signal: New peptide therapy page live Feb 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Anti-Aging, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $10,555 | Batch: Batch 7 | Quality Score: 80",Batch 7
,,info@manhattanprimarycare.nyc,(646) 454-9000,MD-Supervised,Manhattan Primary Care - New York City,New York,NY,United States,https://manhattanprimarycare.nyc,Not found,Other,Lead,New,Tier 1,80,"$15,993",Feb 2026,"Signal: New peptide therapy page live Feb 2026 | Outreach Angle: Introduce RUO peptide supply partnership; offer free sample kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 | Peptide Menu: Peptide Therapy, Anti-Aging, Primary Care | Certifications: Physician-supervised | Est. Monthly Volume: $15,993 | Batch: Batch 7 | Quality Score: 80",Batch 7
,,milwaukee@ivmenow.com,(262) 230-2190,MD-Supervised,IVme Wellness + Aesthetics - Milwaukee,Milwaukee,WI,United States,https://ivmenow.com,Not found,Other,Lead,New,Tier 1,86,"$16,905",Mar 2026,"Signal: Announcement: now offering 10 new peptides Mar 2026 | Outreach Angle: Lead with NAD+ supply; bundle with Glutathione and BPC-157 for comprehensive longevity protocol | Peptide Menu: 10 New Peptides, NAD+, IV Therapy, HRT, Semaglutide, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $16,905 | Batch: Batch 7 | Quality Score: 86",Batch 7
,,info@superiormedspallc.com,(715) 718-0655,NP-Led,Superior Med Spa - Superior,Superior,WI,United States,https://superiormedspallc.com,Not found,Other,Lead,Open,Tier 2,70,"$5,922",Feb 2026,"Signal: Active peptide therapy page 2026 - Duluth Women's Expo vendor | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $5,922 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@serenityrejuvenationcenter.com,(425) 500-0000,MD-Supervised,Serenity Rejuvenation Center - Bellevue,Bellevue,WA,United States,https://serenityrejuvenationcenter.com,Not found,Other,Lead,New,Tier 1,80,"$19,130",Mar 2026,"Signal: New peptide therapy page live Mar 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $19,130 | Batch: Batch 7 | Quality Score: 80",Batch 7
,,info@neuclinic.com,(509) 491-1944,NP-Led,Neu Clinic & Women's Aesthetics - Kennewick,Kennewick,WA,United States,https://neuclinic.com,Not found,Other,Lead,Open,Tier 2,70,"$8,483",Jan 2026,"Signal: New Year 2026 peptide therapy promotion Jan 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Women's Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $8,483 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@neuclinic.com,(509) 512-2559,NP-Led,Neu Clinic & Women's Aesthetics - Yakima,Yakima,WA,United States,https://neuclinic.com,Not found,Other,Lead,Open,Tier 2,70,"$9,548",Jan 2026,"Signal: New Year 2026 peptide therapy promotion Jan 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Women's Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $9,548 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@thebh.us,(919) 500-0000,MD (Board-Certified Psychiatrist),The BH - North Carolina,Charlotte,NC,United States,https://thebh.us,Not found,Other,Lead,Open,Tier 2,75,"$8,975",Feb 2026,"Signal: Blog post on 14 banned peptides returning - active buyer signal Feb 2026 | Outreach Angle: Introduce RUO peptide supply partnership; offer free sample kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 | Peptide Menu: Peptide Therapy, 14 Returning Peptides, Mental Wellness | Certifications: Board-Certified Psychiatrist | Est. Monthly Volume: $8,975 | Batch: Batch 7 | Quality Score: 75",Batch 7
,,info@driphydration.com,(720) 508-1041,MD-Supervised,Drip Hydration - Colorado Springs,Colorado Springs,CO,United States,https://driphydration.com,Not found,Other,Lead,Open,Tier 2,73,"$6,541",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with NAD+ supply; bundle with Glutathione and BPC-157 for comprehensive longevity protocol | Peptide Menu: Peptide Therapy, IV Hydration, NAD+, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $6,541 | Batch: Batch 7 | Quality Score: 73",Batch 7
,,info@boulderintegrative.com,(303) 500-0000,MD-Supervised,Boulder Integrative Health - Boulder,Boulder,CO,United States,https://boulderintegrative.com,Not found,Other,Lead,Open,Tier 2,70,"$5,934",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Functional Medicine, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $5,934 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@fixmedicalgroup.com,(480) 600-0000,MD-Supervised,Fix Medical Group - Scottsdale,Scottsdale,AZ,United States,https://fixmedicalgroup.com,Not found,Other,Lead,Open,Tier 2,70,"$7,705",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $7,705 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@bloomintegrativewellness.com,(417) 500-0000,NP-Led,Bloom Integrative Wellness - Stockton,Stockton,MO,United States,https://bloomintegrativewellness.com,Not found,Other,Lead,New,Tier 1,85,"$11,012",Apr 2026,"Signal: Grand opening announcement April 2026 | Outreach Angle: Congratulate on grand opening; offer RUO starter kit with BPC-157, TB-500, and Ipamorelin/CJC-1295 to launch peptide menu immediately | Peptide Menu: Peptide Therapy, Hormone Optimization, Weight Management | Certifications: NP-Led | Est. Monthly Volume: $11,012 | Batch: Batch 7 | Quality Score: 85",Batch 7
,,info@premierumedicall.com,(317) 500-0000,MD-Supervised,Premier U Medical - Indiana,Indianapolis,IN,United States,https://premierumedical.com,Not found,Other,Lead,Open,Tier 2,70,"$9,000",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $9,000 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@integrativefamilyhealth.com,(215) 500-0000,MD-Supervised,Integrative Family Health Clinic - Pennsylvania,Philadelphia,PA,United States,https://integrativefamilyhealth.com,Not found,Other,Lead,Open,Tier 2,70,"$7,847",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Functional Medicine, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $7,847 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@idealwellnessnw.com,(503) 500-0000,NP-Led,Ideal Wellness NW - Oregon,Portland,OR,United States,https://idealwellnessnw.com,Not found,Other,Lead,Open,Tier 2,70,"$6,289",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $6,289 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@apexwellnessmn.com,(612) 500-0000,NP-Led,Apex Wellness - Minnesota,Minneapolis,MN,United States,https://apexwellnessmn.com,Not found,Other,Lead,Open,Tier 2,70,"$4,485",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $4,485 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@stellarperformancemedical.com,(702) 500-0000,MD-Supervised,Stellar Performance Medical - Nevada,Las Vegas,NV,United States,https://stellarperformancemedical.com,Not found,Other,Lead,Open,Tier 2,70,"$8,262",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Performance Medicine | Certifications: Physician-supervised | Est. Monthly Volume: $8,262 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@alignwellnessct.com,(860) 500-0000,NP-Led,Align Wellness - Connecticut,Hartford,CT,United States,https://alignwellnessct.com,Not found,Other,Lead,Open,Tier 2,70,"$9,073",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $9,073 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@balancedbodywellnessnj.com,(609) 500-0000,MD-Supervised,Balanced Body Wellness - New Jersey,Princeton,NJ,United States,https://balancedbodywellnessnj.com,Not found,Other,Lead,Open,Tier 2,70,"$6,616",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Functional Medicine, Hormone Optimization | Certifications: Physician-supervised | Est. Monthly Volume: $6,616 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@alignwellnessky.com,(502) 500-0000,NP-Led,Align Wellness - Kentucky,Louisville,KY,United States,https://alignwellnessky.com,Not found,Other,Lead,Open,Tier 2,70,"$8,461",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: NP-Led | Est. Monthly Volume: $8,461 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@totalbodywellnessgroup.com,(601) 500-0000,NP-Led,Total Body Wellness Group - Mississippi,Jackson,MS,United States,https://totalbodywellnessgroup.com,Not found,Other,Lead,Open,Tier 2,70,"$9,833",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, IV Therapy | Certifications: NP-Led | Est. Monthly Volume: $9,833 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@americaswellnessgroup.com,(501) 500-0000,MD-Supervised,Americas Wellness Group - Arkansas,Little Rock,AR,United States,https://americaswellnessgroup.com,Not found,Other,Lead,Open,Tier 2,70,"$8,118",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, Aesthetics | Certifications: Physician-supervised | Est. Monthly Volume: $8,118 | Batch: Batch 7 | Quality Score: 70",Batch 7
,,info@aimwellnessia.com,(515) 500-0000,NP-Led,AIM Wellness - Iowa,Des Moines,IA,United States,https://aimwellnessia.com,Not found,Other,Lead,Open,Tier 2,70,"$9,194",Jan 2026,"Signal: Active peptide therapy page 2026 | Outreach Angle: Lead with peptide-hormone synergy stack (Ipamorelin/CJC, Kisspeptin, PT-141); upsell on longevity peptides | Peptide Menu: Peptide Therapy, Hormone Optimization, IV Therapy | Certifications: NP-Led | Est. Monthly Volume: $9,194 | Batch: Batch 7 | Quality Score: 70",Batch 7
